,Statement,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms
46,"As the Coronavirus spreads, so does medical misinformation about the virus. Oliver Darcy says fact-checkers are ""flagging"" false information for Facebook, ""and Facebook is taking some action, but it's something journalists should look into a lot more.""",216.0,37.0,8.0,14.0,3.0,12.666666666666666,5.837837837837838,0.0,0.0,0.0,0.0,8.108108108108109,35.0,0.0,1.0
47,"CNN's Dr. Sanjay Gupta looks at what you need to know about the Wuhan virus and coronaviruses like MERS and SARS - from what they are, to how you can treat them.",130.0,32.0,6.0,9.0,3.0,16.0,4.0625,0.0,0.0,0.0,3.125,3.125,24.0,0.0,0.0
48,The US has confirmed a 4th case of coronavirus as the death toll rises to over 50 in China. CNN's Elizabeth Cohen reports.,100.0,23.0,4.0,10.0,3.0,11.5,4.3478260869565215,0.0,0.0,0.0,0.0,8.695652173913043,23.0,0.0,0.0
49,"Disney is closing down its Shanghai resort over the lucrative Lunar New Year holiday, amid growing fears over the deadly Wuhan coronavirus.",118.0,22.0,3.0,10.0,2.0,22.0,5.363636363636363,0.0,0.0,0.0,4.545454545454546,9.090909090909092,18.0,0.0,0.0
50,"Facebook, Ford and other high-profile companies have told their employees not to travel to China as the deadly coronavirus continues to spread.",122.0,22.0,5.0,6.0,2.0,22.0,5.545454545454546,0.0,0.0,0.0,0.0,4.545454545454546,19.0,0.0,0.0
51,"Three cases of Wuhan coronavirus have been identified in France, the Health Ministry announced Friday. They are the first European cases of the newly discovered virus, officials said.",156.0,28.0,7.0,10.0,3.0,14.0,5.571428571428571,0.0,14.285714285714285,0.0,0.0,3.571428571428571,21.0,0.0,0.0
52,The Dow and the broader stock market ended deep in the red on Friday as fears over the spread of the Wuhan coronavirus tainted investor sentiment.,121.0,26.0,2.0,10.0,2.0,26.0,4.653846153846154,0.0,0.0,0.0,0.0,7.6923076923076925,22.0,0.0,0.0
53,"Scientists have identified a new coronavirus, which has infected more than two hundred people since the initial outbreak in Wuhan, China. CNN's Kristie Lu Stout reports on the origins of the mysterious SARS-like virus and the scientific race to control it.",216.0,41.0,5.0,14.0,3.0,20.5,5.2682926829268295,0.0,0.0,0.0,0.0,9.75609756097561,37.0,0.0,0.0
54,"The Lunar New Year -- the most important festival in the Chinese calendar -- is just three days away, but in the Chinese city of Wuhan, there are few reasons to celebrate.",140.0,32.0,3.0,9.0,2.0,32.0,4.375,0.0,0.0,0.0,6.25,0.0,23.0,0.0,0.0
55,"CNN's Dr. Sanjay Gupta looks at what you need to know about the Wuhan virus and coronaviruses like MERS and SARS in general, from what they are to how you can treat them.",138.0,33.0,6.0,9.0,3.0,16.5,4.181818181818182,0.0,0.0,0.0,3.0303030303030303,3.0303030303030303,25.0,0.0,0.0
56,"As the Wuhan coronavirus continues to spread around the world, the World Health Organization's decision to hold off on declaring the outbreak ""a public health emergency of international concern"" is baffling.",177.0,31.0,6.0,11.0,2.0,31.0,5.709677419354839,0.0,0.0,0.0,0.0,12.903225806451612,25.0,0.0,0.0
57,"China has reported 139 new cases of pneumonia caused by a new strain of coronavirus, including a third death, as the outbreak spreads beyond the city where the virus was first identified.",156.0,32.0,7.0,9.0,2.0,32.0,4.875,0.0,0.0,0.0,0.0,12.5,23.0,0.0,0.0
58,"As the world watches the developing crisis around the deadly Wuhan coronavirus, it's difficult to know how worried to be. One thing is clear, however: China is treating the matter extremely seriously.",169.0,32.0,8.0,7.0,3.0,16.0,5.28125,0.0,0.0,0.0,3.125,12.5,24.0,0.0,0.0
59,"Priscilla Dickey and her 8-year-old daughter were among the Americans to board a charter flight arranged by the US government to leave Wuhan, China, the city put on lockdown due to the coronavirus outbreak. CNN's David Culver reports.",197.0,38.0,4.0,18.0,3.0,19.0,5.184210526315789,0.0,0.0,0.0,0.0,2.631578947368421,31.0,0.0,0.0
60,"CNN international correspondent David Culver reports from Wuhan, China, the epicenter of the Wuhan coronavirus outbreak, where the city has set up stricter measures to stop the virus from spreading.",169.0,30.0,4.0,14.0,2.0,30.0,5.633333333333334,0.0,0.0,0.0,0.0,6.666666666666667,24.0,0.0,0.0
61,"Fears are mounting across Asia over the spread of a new coronavirus identified in China that has killed one patient and sickened dozens, as health authorities race to identify the source of the pathogen.",170.0,34.0,7.0,12.0,2.0,34.0,5.0,0.0,0.0,0.0,2.941176470588235,2.941176470588235,29.0,0.0,0.0
62,"As China announced a partial lockdown of Wuhan, the epicenter of the coronavirus outbreak, the CNN team on the ground had to scramble to flee the city in time. CNN's David Culver and Steven Jiang report.",168.0,36.0,4.0,17.0,3.0,18.0,4.666666666666667,0.0,0.0,0.0,0.0,8.333333333333332,27.0,0.0,0.0
63,"A mysterious pneumonia outbreak that has struck dozens of people and put China on edge is from the same family of viruses as the deadly severe acute respiratory syndrome (SARS), according to Chinese scientists.",177.0,34.0,5.0,12.0,2.0,34.0,5.205882352941177,0.0,0.0,0.0,0.0,17.647058823529413,30.0,0.0,0.0
64,"Authorities in China have imposed indefinite travel restrictions on tens of millions of people across seven cities in an unprecedented effort to contain the spread of a deadly new coronavirus, as hospitals at the epicenter of the outbreak struggle to handle a…",219.0,42.0,4.0,15.0,1.0,42.0,5.214285714285714,0.0,0.0,0.0,0.0,7.142857142857142,31.0,0.0,0.0
65,"A deadly outbreak of the new Wuhan coronavirus emerged in Wuhan, China, a city of 11 million people in December 2019. Within weeks, the virus has killed nine people, sickened hundreds and spread as far as the United States. CNN's David Culver reports.",209.0,43.0,4.0,19.0,4.0,14.333333333333334,4.8604651162790695,0.0,0.0,0.0,0.0,9.30232558139535,34.0,0.0,0.0
